해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
  559,     1.5,    212,     6.5,     6.0,    202
  560,     1.5,    218,     6.6,     5.7,    207
  561,     1.4,    224,     6.8,     5.2,    214
  562,     1.4,    229,     6.9,     4.7,    219
  563,     1.4,    233,     7.0,     4.6,    221
  564,     1.3,    238,     7.2,     4.7,    214
  565,     1.3,    243,     7.3,     4.2,    210
  566,     1.2,    246,     7.7,     3.8,    216
  567,     1.1,    234,     8.2,     2.8,    233
  568,     0.9,    177,     8.8,     3.0,    251
  569,     1.0,    154,     8.8,     4.2,    256
  570,     1.0,    162,     8.6,     4.4,    263
  571,     1.0,    167,     8.5,     4.8,    269
  572,     1.0,    167,     8.5,     4.6,    269
  573,     1.0,    164,     8.5,     4.3,    269
  574,     1.0,    159,     8.5,     3.8,    266
  575,     1.1,    150,     8.5,     3.4,    254
  576,     1.1,    137,     8.5,     3.1,    246
  577,     1.1,    124,     8.5,     3.0,    247
  578,     1.1,    111,     8.5,     2.9,    259
  579,     1.1,     94,     8.5,     2.9,    273
  580,     1.1,     84,     8.5,     3.0,    285
  581,     1.1,     77,     8.5,     3.5,    291
  582,     1.1,     69,     8.5,     3.7,    295
  583,     1.1,     94,     8.5,     1.9,    254
  584,     1.1,     83,     8.5,     2.2,    270
  585,     1.1,     77,     8.5,     2.3,    283
  586,     1.1,     73,     8.5,     2.5,    296
  587,     1.1,     71,     8.5,     2.7,    295
  588,     1.1,     70,     8.5,     2.8,    284
  589,     1.1,     73,     8.5,     1.1,    290
  590,     1.1,     72,     8.5,     1.2,    303
  591,     1.1,     71,     8.6,     1.5,    312
  592,     1.1,     70,     8.6,     1.6,    310
  593,     1.1,     70,     8.6,     1.3,    311
  594,     1.1,     70,     8.6,     1.7,    327
  595,     1.0,     72,     8.5,     0.7,     27
  596,     1.0,     71,     8.6,     1.0,     13
  597,     1.0,     71,     8.6,     1.3,     12
  598,     1.0,     71,     8.6,     1.8,      6
  599,     1.0,     71,     8.6,     2.3,      3
  600,     1.0,     71,     8.6,     2.5,    346
  601,     0.0,     92,     7.8,     2.4,    140
  602,     0.0,     93,     9.2,     2.8,    185
  603,     0.0,     76,     9.4,     1.4,    174
  604,     0.0,     64,     6.9,     4.4,    191
  605,     0.7,    170,     4.2,     7.0,    195
  606,     1.1,    169,     5.7,     6.5,    192
  607,     1.3,    180,     5.7,     6.7,    198
  608,     1.3,    187,     5.8,     6.5,    204
  609,     1.4,    192,     5.9,     6.2,    206
  610,     1.4,    197,     6.1,     6.3,    206
  615,     0.9,    161,     5.2,     6.1,    197
  616,     1.1,    170,     5.5,     5.9,    201
  617,     1.2,    180,     5.6,     6.1,    205
  618,     1.3,    184,     5.7,     6.2,    202
  619,     1.4,    190,     5.8,     6.4,    200
  620,     1.4,    197,     5.9,     6.2,    198
  624,     0.6,    167,     4.5,     4.9,    196
  625,     1.0,    158,     5.3,     5.0,    198
  626,     1.2,    170,     5.3,     6.2,    199
  627,     1.2,    176,     5.4,     6.5,    195
  628,     1.3,    182,     5.5,     6.5,    193
  629,     1.3,    190,     5.7,     6.2,    194
  630,     1.3,    198,     5.8,     5.3,    197
  633,     0.4,    167,     4.1,     4.2,    196
  634,     0.9,    150,     5.4,     4.8,    194
  635,     1.1,    162,     5.2,     6.1,    188
  636,     1.2,    169,     5.2,     6.3,    187
  637,     1.2,    174,     5.3,     6.3,    188
  638,     1.2,    181,     5.3,     6.0,    188
  639,     1.2,    190,     5.5,     5.3,    193
  640,     1.1,    199,     5.7,     4.9,    192
  642,     0.3,    153,     4.4,     4.2,    192
  643,     0.6,    135,     5.8,     4.4,    186
