대해구 번호,경도,위도
324,133.25,40.25
325,133.75,40.25
326,132.25,39.75
327,132.75,39.75
328,133.25,39.75
329,133.75,39.75
330,132.25,39.25
331,132.75,39.25
332,133.25,39.25
333,133.75,39.25
334,132.25,38.75
335,132.75,38.75
336,133.25,38.75
337,133.75,38.75
338,132.25,38.25
339,132.75,38.25
340,133.25,38.25
341,133.75,38.25
342,132.25,37.75
343,132.75,37.75
344,133.25,37.75
345,133.75,37.75
346,132.25,37.25
347,132.75,37.25
348,133.25,37.25
349,133.75,37.25
350,132.25,36.75
351,132.75,36.75
352,133.25,36.75
353,133.75,36.75
354,132.25,36.25
355,132.75,36.25
356,133.25,36.25
357,133.75,36.25
358,132.25,35.75
359,132.75,35.75
360,133.25,35.75
361,133.75,35.75
362,131.75,35.25
363,132.25,35.25
365,131.25,34.75
366,131.75,34.75
367,130.75,34.25
368,129.25,33.75
369,129.75,33.75
370,130.25,33.75
371,128.75,33.25
372,129.25,33.25
373,129.75,33.25
374,128.25,32.75
375,128.75,32.75
376,129.25,32.75
377,129.75,32.75
378,127.75,32.25
379,128.25,32.25
380,128.75,32.25
381,129.25,32.25
382,129.75,32.25
383,130.25,32.25
384,133.75,34.75
385,134.25,34.75
386,134.75,34.75
387,135.25,34.75
388,136.75,34.75
389,137.25,34.75
390,137.75,34.75
391,132.25,34.25
392,132.75,34.25
393,133.25,34.25
394,133.75,34.25
395,134.25,34.25
396,134.75,34.25
397,135.25,34.25
398,136.25,34.25
399,136.75,34.25
400,137.25,34.25
401,121.75,34.25
402,122.25,34.25
403,121.75,33.75
404,122.25,33.75
405,121.75,33.25
406,122.25,33.25
407,122.25,32.75
408,122.25,32.25
409,137.75,34.25
411,131.25,33.75
412,131.75,33.75
413,132.25,33.75
414,132.75,33.75
415,134.75,33.75
416,135.25,33.75
417,136.25,33.75
418,136.75,33.75
419,137.25,33.75
420,137.75,33.75
421,132.25,33.25
422,133.75,33.25
423,134.25,33.25
424,134.75,33.25
425,135.25,33.25
426,135.75,33.25
427,136.25,33.25
428,136.75,33.25
429,137.25,33.25
430,137.75,33.25
432,132.25,32.75
433,132.75,32.75
434,133.25,32.75
435,133.75,32.75
436,134.25,32.75
437,134.75,32.75
438,135.25,32.75
439,135.75,32.75
440,136.25,32.75
441,136.75,32.75
442,137.25,32.75
443,137.75,32.75
444,131.75,32.25
445,132.25,32.25
446,132.75,32.25
447,133.25,32.25
448,133.75,32.25
449,134.25,32.25
450,134.75,32.25
451,135.25,32.25
452,135.75,32.25
453,136.25,32.25
454,136.75,32.25
455,137.25,32.25
456,137.75,32.25
457,122.25,31.75
458,122.75,31.75
459,123.25,31.75
460,123.75,31.75
461,124.25,31.75
462,124.75,31.75
463,125.25,31.75
464,125.75,31.75
465,126.25,31.75
466,126.75,31.75
467,127.25,31.75
468,127.75,31.75
469,128.25,31.75
470,128.75,31.75
471,129.25,31.75
472,129.75,31.75
473,131.25,31.75
474,131.75,31.75
475,132.25,31.75
476,132.75,31.75
477,133.25,31.75
478,133.75,31.75
479,134.25,31.75
480,134.75,31.75
481,135.25,31.75
482,135.75,31.75
483,136.25,31.75
484,136.75,31.75
485,137.25,31.75
486,137.75,31.75
487,122.25,31.25
488,122.75,31.25
489,123.25,31.25
490,123.75,31.25
491,124.25,31.25
492,124.75,31.25
493,125.25,31.25
494,125.75,31.25
495,126.25,31.25
496,126.75,31.25
497,127.25,31.25
498,127.75,31.25
499,128.25,31.25
500,128.75,31.25
501,129.25,31.25
502,129.75,31.25
503,130.25,31.25
504,130.75,31.25
505,131.25,31.25
506,131.75,31.25
507,132.25,31.25
508,132.75,31.25
509,133.25,31.25
510,133.75,31.25
511,134.25,31.25
512,134.75,31.25
513,135.25,31.25
514,135.75,31.25
515,136.25,31.25
516,136.75,31.25
517,137.25,31.25
518,137.75,31.25
519,122.25,30.75
520,122.75,30.75
521,123.25,30.75
522,123.75,30.75
523,124.25,30.75
524,124.75,30.75
525,125.25,30.75
526,125.75,30.75
527,126.25,30.75
528,126.75,30.75
529,127.25,30.75
530,127.75,30.75
531,128.25,30.75
532,128.75,30.75
533,129.25,30.75
534,129.75,30.75
535,130.25,30.75
536,130.75,30.75
537,131.25,30.75
538,131.75,30.75
539,132.25,30.75
540,132.75,30.75
541,133.25,30.75
542,133.75,30.75
543,134.25,30.75
544,134.75,30.75
545,135.25,30.75
546,135.75,30.75
547,136.25,30.75
548,136.75,30.75
549,137.25,30.75
550,137.75,30.75
551,122.25,30.25
552,122.75,30.25
553,123.25,30.25
554,123.75,30.25
555,124.25,30.25
556,124.75,30.25
557,125.25,30.25
558,125.75,30.25
559,126.25,30.25
560,126.75,30.25
561,127.25,30.25
562,127.75,30.25
563,128.25,30.25
564,128.75,30.25
565,129.25,30.25
566,129.75,30.25
567,130.25,30.25
568,130.75,30.25
569,131.25,30.25
570,131.75,30.25
571,132.25,30.25
572,132.75,30.25
573,133.25,30.25
574,133.75,30.25
575,134.25,30.25
576,134.75,30.25
577,135.25,30.25
578,135.75,30.25
579,136.25,30.25
580,136.75,30.25
581,137.25,30.25
582,137.75,30.25
583,135.25,29.75
584,135.75,29.75
585,136.25,29.75
586,136.75,29.75
587,137.25,29.75
588,137.75,29.75
589,135.25,29.25
590,135.75,29.25
591,136.25,29.25
592,136.75,29.25
593,137.25,29.25
594,137.75,29.25
595,135.25,28.75
596,135.75,28.75
597,136.25,28.75
598,136.75,28.75
599,137.25,28.75
600,137.75,28.75
601,121.25,30.25
602,121.75,30.25
605,122.25,29.75
606,122.75,29.75
607,123.25,29.75
608,123.75,29.75
609,124.25,29.75
610,124.75,29.75
614,121.75,29.25
615,122.25,29.25
616,122.75,29.25
617,123.25,29.25
618,123.75,29.25
619,124.25,29.25
620,124.75,29.25
624,121.75,28.75
625,122.25,28.75
626,122.75,28.75
627,123.25,28.75
628,123.75,28.75
629,124.25,28.75
630,124.75,28.75
633,121.25,28.25
634,121.75,28.25
635,122.25,28.25
636,122.75,28.25
637,123.25,28.25
638,123.75,28.25
639,124.25,28.25
640,124.75,28.25
642,120.75,27.75
643,121.25,27.75
644,121.75,27.75
645,122.25,27.75
646,122.75,27.75
647,123.25,27.75
648,123.75,27.75
649,124.25,27.75
650,124.75,27.75
651,120.25,27.25
652,120.75,27.25
653,121.25,27.25
654,121.75,27.25
655,122.25,27.25
656,122.75,27.25
657,123.25,27.25
658,123.75,27.25
659,124.25,27.25
660,124.75,27.25
661,120.25,26.75
662,120.75,26.75
663,121.25,26.75
664,121.75,26.75
665,122.25,26.75
666,122.75,26.75
667,123.25,26.75
668,123.75,26.75
669,124.25,26.75
670,124.75,26.75
671,120.25,26.25
672,120.75,26.25
673,121.25,26.25
674,121.75,26.25
675,122.25,26.25
676,122.75,26.25
677,123.25,26.25
678,123.75,26.25
679,124.25,26.25
680,124.75,26.25
681,120.25,25.75
682,120.75,25.75
683,121.25,25.75
684,121.75,25.75
685,122.25,25.75
686,122.75,25.75
687,123.25,25.75
688,123.75,25.75
689,124.25,25.75
690,124.75,25.75
691,120.25,25.25
692,120.75,25.25
693,121.25,25.25
694,121.75,25.25
695,122.25,25.25
696,122.75,25.25
697,123.25,25.25
698,123.75,25.25
699,124.25,25.25
700,124.75,25.25
701,125.25,29.75
702,125.75,29.75
703,126.25,29.75
704,126.75,29.75
705,127.25,29.75
706,127.75,29.75
707,128.25,29.75
708,128.75,29.75
709,129.25,29.75
710,129.75,29.75
711,125.25,29.25
712,125.75,29.25
713,126.25,29.25
714,126.75,29.25
715,127.25,29.25
716,127.75,29.25
717,128.25,29.25
718,128.75,29.25
719,129.25,29.25
720,129.75,29.25
721,125.25,28.75
722,125.75,28.75
723,126.25,28.75
724,126.75,28.75
725,127.25,28.75
726,127.75,28.75
727,128.25,28.75
728,128.75,28.75
729,129.25,28.75
730,129.75,28.75
731,125.25,28.25
